 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.51399065E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.61438643E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.76966762E-01
 C20                                             :    1.02610188E-04
 C22                                             :    3.08116778E-05
 ekf (Equivalent Fluid Love Number)              :    5.98948509E-01
 H(n)                                            :    6.39579404E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.83941022E-04
 b-R [km]                                        :   -1.09857286E-04
 c-R [km]                                        :   -2.73966479E-04
 
 f1=(a-c)/a                                      :    6.57654981E-04
 f2=(b-c)/b                                      :    1.64127219E-04
 f3=(a-b)/a                                      :    4.93527762E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    7.71644239E-04
 f_MacLaurin                                     :    2.56617423E-04
 f_Roche                                         :    1.02826166E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    5.00000000E-04    1.00000000E+12    5.23598776E+02    5.23701633E-05    4.58382329E-01    1.90269794E+00
   2    1.00000000E-03    9.99999000E+11    3.66518776E+03    1.62347344E-03    4.58381847E-01    1.84323479E+00
   3    1.50000000E-03    9.99997000E+11    9.94834689E+03    1.10500713E-02    4.58382227E-01    1.65213178E+00
   4    2.00000000E-03    9.99995000E+11    1.93730578E+04    4.09008930E-02    4.58382443E-01    1.45117212E+00
   5    2.50000000E-03    9.99992000E+11    3.19392698E+04    1.10028833E-01    4.58382704E-01    1.27921305E+00
   6    3.00000000E-03    9.99989000E+11    4.76469645E+04    2.43570950E-01    4.58383010E-01    1.13803599E+00
   7    3.50000000E-03    9.99985000E+11    6.64960470E+04    4.72947851E-01    4.58383353E-01    1.02237501E+00
   8    4.00000000E-03    9.99980000E+11    8.84864233E+04    8.35863460E-01    4.58383749E-01    9.26772345E-01
   9    4.50000000E-03    9.99975000E+11    1.13618094E+05    1.37630585E+00    4.58384199E-01    8.46819077E-01
  10    5.00000000E-03    9.99969000E+11    1.41890869E+05    2.14454408E+00    4.58384694E-01    7.79154914E-01
  11    5.50000000E-03    9.99963000E+11    1.73304782E+05    3.19713255E+00    4.58385237E-01    7.21251508E-01
  12    6.00000000E-03    9.99956000E+11    2.07859568E+05    4.59690304E+00    4.58385822E-01    6.71196000E-01
  13    6.50000000E-03    9.99948000E+11    2.45555056E+05    6.41296909E+00    4.58386456E-01    6.27528474E-01
  14    7.00000000E-03    9.99940000E+11    2.86391346E+05    8.72073241E+00    4.58387139E-01    5.89121270E-01
  15    7.50000000E-03    9.99931000E+11    3.30368030E+05    1.16018615E+01    4.58387870E-01    5.55091060E-01
  16    8.00000000E-03    9.99921000E+11    3.77484894E+05    1.51443072E+01    4.58388653E-01    5.24739014E-01
  17    8.50000000E-03    9.99911000E+11    4.27742127E+05    1.94423162E+01    4.58389486E-01    4.97506001E-01
  18    9.00000000E-03    9.99900000E+11    4.81139156E+05    2.45963820E+01    4.58390369E-01    4.72938611E-01
  19    9.50000000E-03    9.99889000E+11    5.37676254E+05    3.07133149E+01    4.58391301E-01    4.50667202E-01
  20    1.00000000E-02    9.99877000E+11    5.97352720E+05    3.79061508E+01    4.58392280E-01    4.30386092E-01
  21    1.05000000E-02    9.99864000E+11    6.60168261E+05    4.62942172E+01    4.58393308E-01    4.11841511E-01
  22    1.10000000E-02    9.99851000E+11    7.26123293E+05    5.60031678E+01    4.58394385E-01    3.94821167E-01
  23    1.15000000E-02    9.99837000E+11    7.95216899E+05    6.71648354E+01    4.58395510E-01    3.79145118E-01
  24    1.20000000E-02    9.99822000E+11    8.67448738E+05    7.99173581E+01    4.58396686E-01    3.64660840E-01
  25    1.25000000E-02    9.99807000E+11    9.42819396E+05    9.44052339E+01    4.58397911E-01    3.51238278E-01
  26    1.30000000E-02    9.99792000E+11    1.02132873E+06    1.10779180E+02    4.58399184E-01    3.38765256E-01
  27    1.35000000E-02    9.99775000E+11    1.10297440E+06    1.29195927E+02    4.58400505E-01    3.27144159E-01
  28    1.40000000E-02    9.99758000E+11    1.18775811E+06    1.49818917E+02    4.58401876E-01    3.16291445E-01
  29    1.45000000E-02    9.99741000E+11    1.27567973E+06    1.72817671E+02    4.58403294E-01    3.06133564E-01
  30    1.50000000E-02    9.99722000E+11    1.36673634E+06    1.98367587E+02    4.58404761E-01    2.96605455E-01
  31    1.55000000E-02    9.99704000E+11    1.46093162E+06    2.26651239E+02    4.58406277E-01    2.87651271E-01
  32    1.60000000E-02    9.99684000E+11    1.55826099E+06    2.57856266E+02    4.58407840E-01    2.79219984E-01
  33    1.65000000E-02    9.99664000E+11    1.65872700E+06    2.92177639E+02    4.58409453E-01    2.71267696E-01
  34    1.70000000E-02    9.99644000E+11    1.76232946E+06    3.29816201E+02    4.58411113E-01    2.63754794E-01
  35    1.75000000E-02    9.99622000E+11    1.86906445E+06    3.70978320E+02    4.58412822E-01    2.56645407E-01
  36    1.80000000E-02    9.99600000E+11    1.97893508E+06    4.15877931E+02    4.58414579E-01    2.49908400E-01
  37    1.85000000E-02    9.99578000E+11    2.09194113E+06    4.64734649E+02    4.58416385E-01    2.43515311E-01
  38    1.90000000E-02    9.99555000E+11    2.20808020E+06    5.17773834E+02    4.58418240E-01    2.37440267E-01
  39    1.95000000E-02    9.99531000E+11    2.32735171E+06    5.75227452E+02    4.58420142E-01    2.31660136E-01
  40    2.00000000E-02    9.99507000E+11    2.44975754E+06    6.37334341E+02    4.58422092E-01    2.26154195E-01
  41    2.05000000E-02    9.99482000E+11    2.57529488E+06    7.04338425E+02    4.58424091E-01    2.20903192E-01
  42    2.10000000E-02    9.99456000E+11    2.70396312E+06    7.76490375E+02    4.58426137E-01    2.15889834E-01
  43    2.15000000E-02    9.99430000E+11    2.83576446E+06    8.54047943E+02    4.58428233E-01    2.11098566E-01
  44    2.20000000E-02    9.99403000E+11    2.97069568E+06    9.37273555E+02    4.58430377E-01    2.06514760E-01
  45    2.25000000E-02    9.99376000E+11    3.10875925E+06    1.02643759E+03    4.58432570E-01    2.02125433E-01
  46    2.30000000E-02    9.99347000E+11    3.24994839E+06    1.12181366E+03    4.58434811E-01    1.97918087E-01
  47    2.35000000E-02    9.99319000E+11    3.39427218E+06    1.22368692E+03    4.58437101E-01    1.93882205E-01
  48    2.40000000E-02    9.99289000E+11    3.54172016E+06    1.33234202E+03    4.58439440E-01    1.90006967E-01
  49    2.45000000E-02    9.99260000E+11    3.69230223E+06    1.44807718E+03    4.58441827E-01    1.86283516E-01
  50    2.50000000E-02    9.99229000E+11    3.84600704E+06    1.57118885E+03    4.58444263E-01    1.82702577E-01
  51    2.55000000E-02    9.99198000E+11    4.00284138E+06    1.70198668E+03    4.58446748E-01    1.79256470E-01
  52    2.60000000E-02    9.99166000E+11    4.16280078E+06    1.84078208E+03    4.58449281E-01    1.75937553E-01
  53    2.65000000E-02    9.99134000E+11    4.32588881E+06    1.98789609E+03    4.58451863E-01    1.72739080E-01
  54    2.70000000E-02    9.99101000E+11    4.49210065E+06    2.14365224E+03    4.58454493E-01    1.69654449E-01
  55    2.75000000E-02    9.99067000E+11    4.66143551E+06    2.30838199E+03    4.58457172E-01    1.66677686E-01
  56    2.80000000E-02    9.99033000E+11    4.83389738E+06    2.48242542E+03    4.58459900E-01    1.63803391E-01
  57    2.85000000E-02    9.98998000E+11    5.00948094E+06    2.66612423E+03    4.58462676E-01    1.61026206E-01
  58    2.90000000E-02    9.98963000E+11    5.18819052E+06    2.85983126E+03    4.58465500E-01    1.58341445E-01
  59    2.95000000E-02    9.98927000E+11    5.37002041E+06    3.06390022E+03    4.58468373E-01    1.55744419E-01
  60    3.00000000E-02    9.98890000E+11    5.55496973E+06    3.27869347E+03    4.58471295E-01    1.53230893E-01
  61    3.05000000E-02    9.98853000E+11    5.74304332E+06    3.50458304E+03    4.58474265E-01    1.50797050E-01
  62    3.10000000E-02    9.98815000E+11    5.93423490E+06    3.74194056E+03    4.58477283E-01    1.48439016E-01
  63    3.15000000E-02    9.98776000E+11    6.12854352E+06    3.99114689E+03    4.58480350E-01    1.46153299E-01
  64    3.20000000E-02    9.98737000E+11    6.32597458E+06    4.25259328E+03    4.58483465E-01    1.43936764E-01
  65    3.25000000E-02    9.98697000E+11    6.52652117E+06    4.52666918E+03    4.58486630E-01    1.41786175E-01
  66    3.30000000E-02    9.98657000E+11    6.73018904E+06    4.81377871E+03    4.58489843E-01    1.39698770E-01
  67    3.35000000E-02    9.98616000E+11    6.93697088E+06    5.11432312E+03    4.58493105E-01    1.37671668E-01
  68    3.40000000E-02    9.98574000E+11    7.14686568E+06    5.42871402E+03    4.58496415E-01    1.35702290E-01
  69    3.45000000E-02    9.98532000E+11    7.35987978E+06    5.75737492E+03    4.58499774E-01    1.33788336E-01
  70    3.50000000E-02    9.98489000E+11    7.57600519E+06    6.10072460E+03    4.58503182E-01    1.31927368E-01
  71    3.55000000E-02    9.98446000E+11    7.79524867E+06    6.45919954E+03    4.58506638E-01    1.30117341E-01
  72    3.60000000E-02    9.98402000E+11    8.01760179E+06    6.83323016E+03    4.58510143E-01    1.28356065E-01
  73    3.65000000E-02    9.98357000E+11    8.24306345E+06    7.22325872E+03    4.58513696E-01    1.26641595E-01
  74    3.70000000E-02    9.98312000E+11    8.47164105E+06    7.62974124E+03    4.58517298E-01    1.24972210E-01
  75    3.75000000E-02    9.98266000E+11    8.70332543E+06    8.05312539E+03    4.58520949E-01    1.23346032E-01
  76    3.80000000E-02    9.98219000E+11    8.93811548E+06    8.49387177E+03    4.58524648E-01    1.21761404E-01
  77    3.85000000E-02    9.98172000E+11    9.17601922E+06    8.95245604E+03    4.58528396E-01    1.20216869E-01
  78    3.90000000E-02    9.98124000E+11    9.41702679E+06    9.42934295E+03    4.58532192E-01    1.18710807E-01
  79    3.95000000E-02    9.98076000E+11    9.66114669E+06    9.92502132E+03    4.58536037E-01    1.17241912E-01
  80    4.00000000E-02    9.98027000E+11    9.90836853E+06    1.04399672E+04    4.58539931E-01    1.15808710E-01
  81    4.05000000E-02    9.97977000E+11    1.01586911E+07    1.09746717E+04    4.58543874E-01    1.14409913E-01
  82    4.10000000E-02    9.97927000E+11    1.04121236E+07    1.15296434E+04    4.58547865E-01    1.13044408E-01
  83    4.15000000E-02    9.97876000E+11    1.06686549E+07    1.21053751E+04    4.58551905E-01    1.11710908E-01
  84    4.20000000E-02    9.97825000E+11    1.09282947E+07    1.27023888E+04    4.58555994E-01    1.10408408E-01
  85    4.25000000E-02    9.97772000E+11    1.11910201E+07    1.33211751E+04    4.58560131E-01    1.09135623E-01
  86    4.30000000E-02    9.97720000E+11    1.14568634E+07    1.39622953E+04    4.58564318E-01    1.07891865E-01
  87    4.35000000E-02    9.97666000E+11    1.17257897E+07    1.46262369E+04    4.58568553E-01    1.06675837E-01
  88    4.40000000E-02    9.97612000E+11    1.19978209E+07    1.53135619E+04    4.58572837E-01    1.05486825E-01
  89    4.45000000E-02    9.97558000E+11    1.22729565E+07    1.60248121E+04    4.58577169E-01    1.04323941E-01
  90    4.50000000E-02    9.97503000E+11    1.25511834E+07    1.67605183E+04    4.58581551E-01    1.03186229E-01
  91    4.55000000E-02    9.97447000E+11    1.28325003E+07    1.75212321E+04    4.58585981E-01    1.02072878E-01
  92    4.60000000E-02    9.97391000E+11    1.31169189E+07    1.83075295E+04    4.58590460E-01    1.00983213E-01
  93    4.65000000E-02    9.97334000E+11    1.34044252E+07    1.91199574E+04    4.58594987E-01    9.99163869E-02
  94    4.70000000E-02    9.97276000E+11    1.36950180E+07    1.99590855E+04    4.58599563E-01    9.88716865E-02
  95    4.75000000E-02    9.97218000E+11    1.39887096E+07    2.08255101E+04    4.58604188E-01    9.78485261E-02
