 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.67394585E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    3.99625134E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.85632254E-01
 C20                                             :    1.00147944E-04
 C22                                             :    3.00723175E-05
 ekf (Equivalent Fluid Love Number)              :    6.46337347E-01
 H(n)                                            :    6.58534939E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    3.57531285E-04
 b-R [km]                                        :   -1.02300906E-04
 c-R [km]                                        :   -2.55128696E-04
 
 f1=(a-c)/a                                      :    6.12440995E-04
 f2=(b-c)/b                                      :    1.52843421E-04
 f3=(a-b)/a                                      :    4.59597574E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    6.97909172E-04
 f_MacLaurin                                     :    2.32096145E-04
 f_Roche                                         :    9.30005318E-04
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    5.00000000E-04    1.00000000E+12    5.23598776E+02    5.23699137E-05    4.94518116E-01    1.85653827E+00
   2    1.00000000E-03    9.99999000E+11    3.66518776E+03    1.62346570E-03    4.94518531E-01    1.79852121E+00
   3    1.50000000E-03    9.99998000E+11    9.94835684E+03    1.10500297E-02    4.94518733E-01    1.61205475E+00
   4    2.00000000E-03    9.99996000E+11    1.93730772E+04    4.09007390E-02    4.94518916E-01    1.41596982E+00
   5    2.50000000E-03    9.99994000E+11    3.19393337E+04    1.10028528E-01    4.94519141E-01    1.24818318E+00
   6    3.00000000E-03    9.99991000E+11    4.76470598E+04    2.43570276E-01    4.94519396E-01    1.11043044E+00
   7    3.50000000E-03    9.99988000E+11    6.64962465E+04    4.72947015E-01    4.94519706E-01    9.97575943E-01
   8    4.00000000E-03    9.99984000E+11    8.84867773E+04    8.35862819E-01    4.94520056E-01    9.04292954E-01
   9    4.50000000E-03    9.99980000E+11    1.13618662E+05    1.37630618E+00    4.94520448E-01    8.26279609E-01
  10    5.00000000E-03    9.99975000E+11    1.41891721E+05    2.14454672E+00    4.94520882E-01    7.60257194E-01
  11    5.50000000E-03    9.99970000E+11    1.73305995E+05    3.19713969E+00    4.94521357E-01    7.03758679E-01
  12    6.00000000E-03    9.99964000E+11    2.07861231E+05    4.59691790E+00    4.94521876E-01    6.54917662E-01
  13    6.50000000E-03    9.99958000E+11    2.45557512E+05    6.41300265E+00    4.94522437E-01    6.12310211E-01
  14    7.00000000E-03    9.99951000E+11    2.86394496E+05    8.72078677E+00    4.94523040E-01    5.74834787E-01
  15    7.50000000E-03    9.99944000E+11    3.30372326E+05    1.16019570E+01    4.94523686E-01    5.41630699E-01
  16    8.00000000E-03    9.99936000E+11    3.77490556E+05    1.51444621E+01    4.94524373E-01    5.12015453E-01
  17    8.50000000E-03    9.99928000E+11    4.27749399E+05    1.94425540E+01    4.94525104E-01    4.85443514E-01
  18    9.00000000E-03    9.99919000E+11    4.81148299E+05    2.45967321E+01    4.94525877E-01    4.61472473E-01
  19    9.50000000E-03    9.99910000E+11    5.37687546E+05    3.07138135E+01    4.94526692E-01    4.39741671E-01
  20    1.00000000E-02    9.99900000E+11    5.97366460E+05    3.79068420E+01    4.94527549E-01    4.19952852E-01
  21    1.05000000E-02    9.99890000E+11    6.60185428E+05    4.62952003E+01    4.94528449E-01    4.01858793E-01
  22    1.10000000E-02    9.99879000E+11    7.26143628E+05    5.60044691E+01    4.94529392E-01    3.85251546E-01
  23    1.15000000E-02    9.99868000E+11    7.95241554E+05    6.71665976E+01    4.94530376E-01    3.69956326E-01
  24    1.20000000E-02    9.99856000E+11    8.67478236E+05    7.99196947E+01    4.94531403E-01    3.55823910E-01
  25    1.25000000E-02    9.99844000E+11    9.42854287E+05    9.44082774E+01    4.94532473E-01    3.42727406E-01
  26    1.30000000E-02    9.99831000E+11    1.02136857E+06    1.10782973E+02    4.94533585E-01    3.30557042E-01
  27    1.35000000E-02    9.99818000E+11    1.10302183E+06    1.29200868E+02    4.94534739E-01    3.19218562E-01
  28    1.40000000E-02    9.99804000E+11    1.18781276E+06    1.49825095E+02    4.94535936E-01    3.08629456E-01
  29    1.45000000E-02    9.99790000E+11    1.27574225E+06    1.72825317E+02    4.94537175E-01    2.98718302E-01
  30    1.50000000E-02    9.99775000E+11    1.36680880E+06    1.98377157E+02    4.94538457E-01    2.89421901E-01
  31    1.55000000E-02    9.99760000E+11    1.46101346E+06    2.26662855E+02    4.94539781E-01    2.80685181E-01
  32    1.60000000E-02    9.99744000E+11    1.55835451E+06    2.57870512E+02    4.94541147E-01    2.72458925E-01
  33    1.65000000E-02    9.99728000E+11    1.65883319E+06    2.92194951E+02    4.94542556E-01    2.64700009E-01
  34    1.70000000E-02    9.99711000E+11    1.76244758E+06    3.29836734E+02    4.94544007E-01    2.57369535E-01
  35    1.75000000E-02    9.99694000E+11    1.86919908E+06    3.71003271E+02    4.94545501E-01    2.50433269E-01
  36    1.80000000E-02    9.99676000E+11    1.97908554E+06    4.15907566E+02    4.94547037E-01    2.43860063E-01
  37    1.85000000E-02    9.99658000E+11    2.09210856E+06    4.64769626E+02    4.94548616E-01    2.37622407E-01
  38    1.90000000E-02    9.99639000E+11    2.20826576E+06    5.17814876E+02    4.94550237E-01    2.31695060E-01
  39    1.95000000E-02    9.99620000E+11    2.32755895E+06    5.75275927E+02    4.94551900E-01    2.26055675E-01
  40    2.00000000E-02    9.99600000E+11    2.44998548E+06    6.37390601E+02    4.94553606E-01    2.20683576E-01
  41    2.05000000E-02    9.99580000E+11    2.57554739E+06    7.04404124E+02    4.94555354E-01    2.15560429E-01
  42    2.10000000E-02    9.99559000E+11    2.70424178E+06    7.76566692E+02    4.94557145E-01    2.10669133E-01
  43    2.15000000E-02    9.99538000E+11    2.83607089E+06    8.54136156E+02    4.94558978E-01    2.05994513E-01
  44    2.20000000E-02    9.99516000E+11    2.97103157E+06    9.37375057E+02    4.94560853E-01    2.01522299E-01
  45    2.25000000E-02    9.99494000E+11    3.10912631E+06    1.02655389E+03    4.94562771E-01    1.97239825E-01
  46    2.30000000E-02    9.99471000E+11    3.25035165E+06    1.12194750E+03    4.94564732E-01    1.93135088E-01
  47    2.35000000E-02    9.99448000E+11    3.39471034E+06    1.22383904E+03    4.94566735E-01    1.89197437E-01
  48    2.40000000E-02    9.99424000E+11    3.54219863E+06    1.33251565E+03    4.94568780E-01    1.85416702E-01
  49    2.45000000E-02    9.99400000E+11    3.69281954E+06    1.44827315E+03    4.94570868E-01    1.81783865E-01
  50    2.50000000E-02    9.99375000E+11    3.84656899E+06    1.57141092E+03    4.94572998E-01    1.78290247E-01
  51    2.55000000E-02    9.99350000E+11    4.00345030E+06    1.70223746E+03    4.94575171E-01    1.74928167E-01
  52    2.60000000E-02    9.99324000E+11    4.16345906E+06    1.84106438E+03    4.94577386E-01    1.71690170E-01
  53    2.65000000E-02    9.99298000E+11    4.32659887E+06    1.98821289E+03    4.94579643E-01    1.68569677E-01
  54    2.70000000E-02    9.99271000E+11    4.49286500E+06    2.14400675E+03    4.94581944E-01    1.65560246E-01
  55    2.75000000E-02    9.99244000E+11    4.66226135E+06    2.30877993E+03    4.94584286E-01    1.62656211E-01
  56    2.80000000E-02    9.99216000E+11    4.83478284E+06    2.48286829E+03    4.94586671E-01    1.59851976E-01
  57    2.85000000E-02    9.99188000E+11    5.01043370E+06    2.66661856E+03    4.94589099E-01    1.57142637E-01
  58    2.90000000E-02    9.99159000E+11    5.18920846E+06    2.86037870E+03    4.94591569E-01    1.54523306E-01
  59    2.95000000E-02    9.99130000E+11    5.37111169E+06    3.06450822E+03    4.94594081E-01    1.51989719E-01
  60    3.00000000E-02    9.99100000E+11    5.55613757E+06    3.27936710E+03    4.94596636E-01    1.49537588E-01
  61    3.05000000E-02    9.99070000E+11    5.74429099E+06    3.50532766E+03    4.94599233E-01    1.47163191E-01
  62    3.10000000E-02    9.99039000E+11    5.93556574E+06    3.74276187E+03    4.94601873E-01    1.44862746E-01
  63    3.15000000E-02    9.99008000E+11    6.12996709E+06    3.99205489E+03    4.94604556E-01    1.42632991E-01
  64    3.20000000E-02    9.98976000E+11    6.32748840E+06    4.25359061E+03    4.94607281E-01    1.40470578E-01
  65    3.25000000E-02    9.98944000E+11    6.52813532E+06    4.52776708E+03    4.94610048E-01    1.38372637E-01
  66    3.30000000E-02    9.98911000E+11    6.73190081E+06    4.81498004E+03    4.94612858E-01    1.36336192E-01
  67    3.35000000E-02    9.98878000E+11    6.93879089E+06    5.11564048E+03    4.94615711E-01    1.34358709E-01
  68    3.40000000E-02    9.98844000E+11    7.14879809E+06    5.43015591E+03    4.94618606E-01    1.32437533E-01
  69    3.45000000E-02    9.98810000E+11    7.36192883E+06    5.75895029E+03    4.94621543E-01    1.30570421E-01
  70    3.50000000E-02    9.98775000E+11    7.57817521E+06    6.10244287E+03    4.94624523E-01    1.28754994E-01
  71    3.55000000E-02    9.98740000E+11    7.79754404E+06    6.46107061E+03    4.94627546E-01    1.26989259E-01
  72    3.60000000E-02    9.98704000E+11    8.02002698E+06    6.83526441E+03    4.94630611E-01    1.25271079E-01
  73    3.65000000E-02    9.98668000E+11    8.24563126E+06    7.22547429E+03    4.94633718E-01    1.23598680E-01
