 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.04615057E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    2.49750051E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.66623557E-01
 C20                                             :    1.35263724E-04
 C22                                             :    4.06168465E-05
 ekf (Equivalent Fluid Love Number)              :    5.45571086E-01
 H(n)                                            :    6.18228434E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.37210372E-04
 b-R [km]                                        :   -1.53710119E-04
 c-R [km]                                        :   -3.83270726E-04
 
 f1=(a-c)/a                                      :    9.19986845E-04
 f2=(b-c)/b                                      :    2.29595892E-04
 f3=(a-b)/a                                      :    6.90390953E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.11672468E-03
 f_MacLaurin                                     :    3.71377114E-04
 f_Roche                                         :    1.48810180E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    5.00000000E-04    9.99500000E+11    5.23336976E+02    5.23457789E-05    3.72175571E-01    2.23468638E+00
   2    1.00000000E-03    9.99000000E+11    3.66152624E+03    1.62190744E-03    3.72229964E-01    2.16409597E+00
   3    1.50000000E-03    9.98500000E+11    9.93345417E+03    1.10339096E-02    3.72277358E-01    1.93903303E+00
   4    2.00000000E-03    9.98000000E+11    1.93344084E+04    4.08207037E-02    3.72324155E-01    1.70257314E+00
   5    2.50000000E-03    9.97500000E+11    3.18596765E+04    1.09758429E-01    3.72370866E-01    1.50029672E+00
   6    3.00000000E-03    9.97000000E+11    4.75045461E+04    2.42851304E-01    3.72417563E-01    1.33425236E+00
   7    3.50000000E-03    9.96500000E+11    6.62643048E+04    4.71315912E-01    3.72464273E-01    1.19823077E+00
   8    4.00000000E-03    9.96000000E+11    8.81342403E+04    8.32565495E-01    3.72510998E-01    1.08580536E+00
   9    4.50000000E-03    9.95500000E+11    1.13109640E+05    1.37019424E+00    3.72557746E-01    9.91786468E-01
  10    5.00000000E-03    9.95000000E+11    1.41185792E+05    2.13396157E+00    3.72604516E-01    9.12221616E-01
  11    5.50000000E-03    9.94500000E+11    1.72357983E+05    3.17977644E+00    3.72651310E-01    8.44135532E-01
  12    6.00000000E-03    9.94000000E+11    2.06621502E+05    4.56968160E+00    3.72698129E-01    7.85279132E-01
  13    6.50000000E-03    9.93500000E+11    2.43971635E+05    6.37183792E+00    3.72744972E-01    7.33935154E-01
  14    7.00000000E-03    9.93000000E+11    2.84403671E+05    8.66050867E+00    3.72791841E-01    6.88776612E-01
  15    7.50000000E-03    9.92500000E+11    3.27912896E+05    1.15160438E+01    3.72838734E-01    6.48765382E-01
  16    8.00000000E-03    9.92000000E+11    3.74494599E+05    1.50248642E+01    3.72885653E-01    6.13079550E-01
