 GLOBAL PARAMETERS
 
 m [kg]                                          :    1.24791675E+12
 R [km]                                          :    1.00000000E+00
 Mean Density [g/cm^3]                           :    2.97918179E-01
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.58745485E-01
 C20                                             :    1.05267900E-04
 C22                                             :    3.16097326E-05
 ekf (Equivalent Fluid Love Number)              :    5.06474267E-01
 H(n)                                            :    6.02589707E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.38898292E-04
 b-R [km]                                        :   -1.25581593E-04
 c-R [km]                                        :   -3.13163479E-04
 
 f1=(a-c)/a                                      :    7.51731815E-04
 f2=(b-c)/b                                      :    1.87605440E-04
 f3=(a-b)/a                                      :    5.64126375E-04
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    9.36169949E-04
 f_MacLaurin                                     :    3.11331969E-04
 f_Roche                                         :    1.24750192E-03
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    1.00000000E-02    9.99836000E+11    4.18810324E+06    1.67558362E+02    3.93009012E-01    1.97885635E+00
   2    2.00000000E-02    9.99342000E+11    2.93022379E+07    5.19174298E+03    3.93066076E-01    1.91635717E+00
   3    3.00000000E-02    9.98520000E+11    7.94692251E+07    3.53082824E+04    3.93139120E-01    1.71662119E+00
   4    4.00000000E-02    9.97370000E+11    1.54577626E+08    1.30540337E+05    3.93233473E-01    1.50651453E+00
   5    5.00000000E-02    9.95893000E+11    2.54466797E+08    3.50651869E+05    3.93349839E-01    1.32651871E+00
   6    6.00000000E-02    9.94089000E+11    3.78926754E+08    7.74834721E+05    3.93488454E-01    1.17850994E+00
   7    7.00000000E-02    9.91959000E+11    5.27698734E+08    1.50129859E+06    3.93649461E-01    1.05702464E+00
   8    8.00000000E-02    9.89506000E+11    7.00476784E+08    2.64676934E+06    3.93832952E-01    9.56394081E-01
   9    9.00000000E-02    9.86729000E+11    8.96904567E+08    4.34587675E+06    3.94039034E-01    8.72032891E-01
  10    1.00000000E-01    9.83632000E+11    1.11658181E+09    6.75048313E+06    3.94267821E-01    8.00451606E-01
  11    1.10000000E-01    9.80215000E+11    1.35905786E+09    1.00288676E+07    3.94519436E-01    7.39019641E-01
  12    1.20000000E-01    9.76481000E+11    1.62383880E+09    1.43648857E+07    3.94794016E-01    6.85750258E-01
  13    1.30000000E-01    9.72432000E+11    1.91038410E+09    1.99569876E+07    3.95091709E-01    6.39125574E-01
  14    1.40000000E-01    9.68070000E+11    2.21810805E+09    2.70171723E+07    3.95412676E-01    5.97972528E-01
  15    1.50000000E-01    9.63398000E+11    2.54638290E+09    3.57698897E+07    3.95757092E-01    5.61373875E-01
  16    1.60000000E-01    9.58418000E+11    2.89453520E+09    4.64507800E+07    3.96125148E-01    5.28602761E-01
  17    1.70000000E-01    9.53135000E+11    3.26185824E+09    5.93055751E+07    3.96517042E-01    4.99078632E-01
  18    1.80000000E-01    9.47550000E+11    3.64759202E+09    7.45884142E+07    3.96932986E-01    4.72329632E-01
  19    1.90000000E-01    9.41667000E+11    4.05094553E+09    9.25607713E+07    3.97373209E-01    4.47971548E-01
  20    2.00000000E-01    9.35489000E+11    4.47108513E+09    1.13489752E+08    3.97837957E-01    4.25687033E-01
  21    2.10000000E-01    9.29021000E+11    4.90714880E+09    1.37646873E+08    3.98327489E-01    4.05213004E-01
  22    2.20000000E-01    9.22265000E+11    5.35822317E+09    1.65305842E+08    3.98842079E-01    3.86327698E-01
  23    2.30000000E-01    9.15227000E+11    5.82338102E+09    1.96741922E+08    3.99382018E-01    3.68845499E-01
  24    2.40000000E-01    9.07909000E+11    6.30163782E+09    2.32228898E+08    3.99947611E-01    3.52607109E-01
  25    2.50000000E-01    9.00316000E+11    6.79199395E+09    2.72038621E+08    4.00539185E-01    3.37477433E-01
  26    2.60000000E-01    8.92454000E+11    7.29342832E+09    3.16439156E+08    4.01157081E-01    3.23340618E-01
  27    2.70000000E-01    8.84325000E+11    7.80485875E+09    3.65691229E+08    4.01801657E-01    3.10095092E-01
  28    2.80000000E-01    8.75936000E+11    8.32521544E+09    4.20049471E+08    4.02473293E-01    2.97654268E-01
  29    2.90000000E-01    8.67290000E+11    8.85336720E+09    4.79757205E+08    4.03172387E-01    2.85941226E-01
  30    3.00000000E-01    8.58394000E+11    9.38819614E+09    5.45048170E+08    4.03899355E-01    2.74889775E-01
  31    3.10000000E-01    8.49251000E+11    9.92851995E+09    6.16140457E+08    4.04654636E-01    2.64440377E-01
  32    3.20000000E-01    8.39869000E+11    1.04731903E+10    6.93240200E+08    4.05438690E-01    2.54541900E-01
  33    3.30000000E-01    8.30251000E+11    1.10209811E+10    7.76532842E+08    4.06251996E-01    2.45147493E-01
  34    3.40000000E-01    8.20403000E+11    1.15706822E+10    8.66186934E+08    4.07095060E-01    2.36216303E-01
  35    3.50000000E-01    8.10332000E+11    1.21210837E+10    9.62351570E+08    4.07968412E-01    2.27712099E-01
  36    3.60000000E-01    8.00043000E+11    1.26709336E+10    1.06515127E+09    4.08872605E-01    2.19601861E-01
  37    3.70000000E-01    7.89542000E+11    1.32189815E+10    1.17468720E+09    4.09808216E-01    2.11856176E-01
  38    3.80000000E-01    7.78834000E+11    1.37639484E+10    1.29103273E+09    4.10775855E-01    2.04448269E-01
  39    3.90000000E-01    7.67927000E+11    1.43045986E+10    1.41423813E+09    4.11776154E-01    1.97354700E-01
  40    4.00000000E-01    7.56827000E+11    1.48396572E+10    1.54432143E+09    4.12809779E-01    1.90553727E-01
  41    4.10000000E-01    7.45539000E+11    1.53678227E+10    1.68126712E+09    4.13877423E-01    1.84025352E-01
  42    4.20000000E-01    7.34070000E+11    1.58878286E+10    1.82503072E+09    4.14979813E-01    1.77751853E-01
  43    4.30000000E-01    7.22428000E+11    1.63984323E+10    1.97553676E+09    4.16117710E-01    1.71717284E-01
  44    4.40000000E-01    7.10618000E+11    1.68983269E+10    2.13266666E+09    4.17291907E-01    1.65906371E-01
  45    4.50000000E-01    6.98647000E+11    1.73862516E+10    2.29626966E+09    4.18503237E-01    1.60305569E-01
  46    4.60000000E-01    6.86522000E+11    1.78609518E+10    2.46615709E+09    4.19752570E-01    1.54902444E-01
  47    4.70000000E-01    6.74249000E+11    1.83211537E+10    2.64209711E+09    4.21040818E-01    1.49685334E-01
  48    4.80000000E-01    6.61837000E+11    1.87656739E+10    2.82382898E+09    4.22368934E-01    1.44644140E-01
  49    4.90000000E-01    6.49291000E+11    1.91932319E+10    3.01103480E+09    4.23737915E-01    1.39768683E-01
  50    5.00000000E-01    6.36620000E+11    1.96026737E+10    3.20337137E+09    4.25148807E-01    1.35050390E-01
  51    5.10000000E-01    6.23829000E+11    1.99927424E+10    3.40043360E+09    4.26602702E-01    1.30480490E-01
  52    5.20000000E-01    6.10926000E+11    2.03622880E+10    3.60178661E+09    4.28100747E-01    1.26051458E-01
  53    5.30000000E-01    5.97919000E+11    2.07101839E+10    3.80695245E+09    4.29644141E-01    1.21756298E-01
  54    5.40000000E-01    5.84815000E+11    2.10352935E+10    4.01540296E+09    4.31234141E-01    1.17588302E-01
  55    5.50000000E-01    5.71620000E+11    2.13364650E+10    4.22655695E+09    4.32872066E-01    1.13541019E-01
  56    5.60000000E-01    5.58342000E+11    2.16126429E+10    4.43980088E+09    4.34559299E-01    1.09608815E-01
  57    5.70000000E-01    5.44989000E+11    2.18628026E+10    4.65447724E+09    4.36297289E-01    1.05786422E-01
  58    5.80000000E-01    5.31568000E+11    2.20859115E+10    4.86987550E+09    4.38087559E-01    1.02068721E-01
  59    5.90000000E-01    5.18086000E+11    2.22809666E+10    5.08523913E+09    4.39931706E-01    9.84509107E-02
  60    6.00000000E-01    5.04551000E+11    2.24470405E+10    5.29977624E+09    4.41831407E-01    9.49286703E-02
  61    6.10000000E-01    4.90970000E+11    2.25831988E+10    5.51264114E+09    4.43788426E-01    9.14977540E-02
  62    6.20000000E-01    4.77350000E+11    2.26885421E+10    5.72294334E+09    4.45804614E-01    8.81541641E-02
  63    6.30000000E-01    4.63699000E+11    2.27622570E+10    5.92976099E+09    4.47881921E-01    8.48943133E-02
  64    6.40000000E-01    4.50024000E+11    2.28035239E+10    6.13211868E+09    4.50022398E-01    8.17146357E-02
  65    6.50000000E-01    4.36333000E+11    2.28116160E+10    6.32901339E+09    4.52228203E-01    7.86119381E-02
  66    6.60000000E-01    4.22632000E+11    2.27857473E+10    6.51937402E+09    4.54501611E-01    7.55828436E-02
  67    6.70000000E-01    4.08929000E+11    2.27252803E+10    6.70211903E+09    4.56845017E-01    7.26245007E-02
  68    6.80000000E-01    3.95232000E+11    2.26296300E+10    6.87613282E+09    4.59260952E-01    6.97342023E-02
  69    6.90000000E-01    3.81548000E+11    2.24982066E+10    7.04024946E+09    4.61752080E-01    6.69092003E-02
  70    7.00000000E-01    3.67883000E+11    2.23304094E+10    7.19324953E+09    4.64321219E-01    6.41467033E-02
  71    7.10000000E-01    3.54245000E+11    2.21258064E+10    7.33391856E+09    4.66971345E-01    6.14443890E-02
  72    7.20000000E-01    3.40642000E+11    2.18840259E+10    7.46101707E+09    4.69705604E-01    5.88000380E-02
  73    7.30000000E-01    3.27079000E+11    2.16045599E+10    7.57321409E+09    4.72527326E-01    5.62110132E-02
  74    7.40000000E-01    3.13565000E+11    2.12872138E+10    7.66924206E+09    4.75440036E-01    5.36754593E-02
  75    7.50000000E-01    3.00105000E+11    2.09315872E+10    7.74771931E+09    4.78447472E-01    5.11909160E-02
  76    7.60000000E-01    2.86708000E+11    2.05376112E+10    7.80734387E+09    4.81553597E-01    4.87556828E-02
  77    7.70000000E-01    2.73379000E+11    2.01049996E+10    7.84669554E+09    4.84762615E-01    4.63674444E-02
  78    7.80000000E-01    2.60126000E+11    1.96337410E+10    7.86442166E+09    4.88078997E-01    4.40244574E-02
  79    7.90000000E-01    2.46955000E+11    1.91237419E+10    7.85910449E+09    4.91507493E-01    4.17246922E-02
  80    8.00000000E-01    2.33872000E+11    1.85749681E+10    7.82931632E+09    4.95053159E-01    3.94661682E-02
  81    8.10000000E-01    2.20885000E+11    1.79876088E+10    7.77369352E+09    4.98721384E-01    3.72472813E-02
  82    8.20000000E-01    2.07999000E+11    1.73616812E+10    7.69077340E+09    5.02517911E-01    3.50659542E-02
  83    8.30000000E-01    1.95220000E+11    1.66973437E+10    7.57912718E+09    5.06448872E-01    3.29203060E-02
  84    8.40000000E-01    1.82556000E+11    1.59949953E+10    7.43741405E+09    5.10520820E-01    3.08088103E-02
  85    8.50000000E-01    1.70011000E+11    1.52547598E+10    7.26414924E+09    5.14740765E-01    2.87292775E-02
  86    8.60000000E-01    1.57593000E+11    1.44771798E+10    7.05802737E+09    5.19116212E-01    2.66801965E-02
  87    8.70000000E-01    1.45306000E+11    1.36625091E+10    6.81759339E+09    5.23655211E-01    2.46593748E-02
  88    8.80000000E-01    1.33156000E+11    1.28112480E+10    6.54149996E+09    5.28366402E-01    2.26649443E-02
  89    8.90000000E-01    1.21150000E+11    1.19240680E+10    6.22848293E+09    5.33259075E-01    2.06951824E-02
  90    9.00000000E-01    1.09292000E+11    1.10014221E+10    5.87716386E+09    5.38343227E-01    1.87478215E-02
  91    9.10000000E-01    9.75886000E+10    1.00440885E+10    5.48633501E+09    5.43629632E-01    1.68209914E-02
  92    9.20000000E-01    8.60440000E+10    9.05267578E+09    5.05470312E+09    5.49129921E-01    1.49123512E-02
  93    9.30000000E-01    7.46636000E+10    8.02798376E+09    4.58108605E+09    5.54856665E-01    1.30196921E-02
  94    9.40000000E-01    6.34525000E+10    6.97085362E+09    4.06433810E+09    5.60823476E-01    1.11406641E-02
  95    9.50000000E-01    5.24154000E+10    5.88215464E+09    3.50334574E+09    5.67045111E-01    9.27273933E-03
  96    9.60000000E-01    4.15571000E+10    4.76283799E+09    2.89706315E+09    5.73537603E-01    7.41327897E-03
  97    9.70000000E-01    3.08821000E+10    3.61389227E+09    2.24449107E+09    5.80318395E-01    5.55943947E-03
  98    9.80000000E-01    2.03947000E+10    2.43635306E+09    1.54468646E+09    5.87406504E-01    3.70816256E-03
  99    9.90000000E-01    1.00993000E+10    1.23133813E+09    7.96789699E+08    5.94822698E-01    1.85619879E-03
 100    1.00000000E+00    3.89817000E-05    4.84976233E-06    3.20231313E-06    6.02589707E-01    7.24899718E-18
