 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.69402490E+09
 R [km]                                          :    9.99500067E-01
 Mean Density [g/cm^3]                           :    1.60047993E-03
 C/mR^2 (Total Moment of Inertia Respect to z)   :    2.26491822E-02
 C20                                             :    9.26061445E-05
 C22                                             :    2.78076742E-05
 ekf (Equivalent Fluid Love Number)              :    2.39361587E-03
 H(n)                                            :    4.00957446E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    5.89626244E-02
 b-R [km]                                        :   -1.67530598E-02
 c-R [km]                                        :   -3.95885594E-02
 
 f1=(a-c)/a                                      :    9.31078458E-02
 f2=(b-c)/b                                      :    2.32363963E-02
 f3=(a-b)/a                                      :    6.98714495E-02
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74261509E-01
 f_MacLaurin                                     :    5.79522752E-02
 f_Roche                                         :    2.32213784E-01
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    6.67779588E-08    1.00000000E+12    1.24734913E-09    2.22491879E-24   -3.24323851E-06   -3.03962340E-03
   2    5.00066778E-04    9.99962616E+11    5.23789011E+02    5.24085761E-05    3.09189418E-03    2.89854064E+00
   3    1.00006678E-03    9.99850495E+11    3.66527277E+03    1.62392396E-03    3.09199608E-03    2.80771170E+00
   4    1.50006678E-03    9.99663670E+11    9.94607943E+03    1.10497974E-02    3.09212652E-03    2.51625014E+00
   5    2.00006678E-03    9.99402200E+11    1.93630411E+04    4.08869711E-02    3.09229494E-03    2.20975006E+00
   6    2.50006678E-03    9.99066161E+11    3.19115853E+04    1.09951174E-01    3.09250253E-03    1.94741505E+00
   7    3.00006678E-03    9.98655657E+11    4.75857386E+04    2.43294668E-01    3.09274958E-03    1.73196246E+00
   8    3.50006678E-03    9.98170812E+11    6.63781312E+04    4.72177028E-01    3.09303619E-03    1.55537559E+00
   9    4.00006678E-03    9.97611770E+11    8.82800023E+04    8.34028976E-01    3.09336240E-03    1.40934197E+00
  10    4.50006678E-03    9.96978702E+11    1.13281207E+05    1.37240935E+00    3.09372825E-03    1.28714506E+00
  11    5.00006678E-03    9.96271799E+11    1.41370225E+05    2.13695524E+00    3.09413375E-03    1.18366818E+00
  12    5.50006678E-03    9.95491272E+11    1.72534167E+05    3.18332538E+00    3.09457891E-03    1.09505903E+00
  13    6.00006678E-03    9.94637358E+11    2.06758788E+05    4.57313689E+00    3.09506377E-03    1.01840521E+00
  14    6.50006678E-03    9.93710312E+11    2.44028492E+05    6.37389540E+00    3.09558831E-03    9.51482870E-01
  15    7.00006678E-03    9.92710413E+11    2.84326353E+05    8.65891875E+00    3.09615258E-03    8.92573448E-01
  16    7.50006678E-03    9.91637960E+11    3.27634119E+05    1.15072542E+01    3.09675657E-03    8.40332438E-01
  17    8.00006678E-03    9.90493274E+11    3.73932230E+05    1.50035897E+01    3.09740030E-03    7.93695321E-01
  18    8.50006678E-03    9.89276698E+11    4.23199832E+05    1.92381584E+01    3.09808380E-03    7.51809678E-01
  19    9.00006678E-03    9.87988593E+11    4.75414793E+05    2.43066380E+01    3.09880707E-03    7.13985690E-01
  20    9.50006678E-03    9.86629343E+11    5.30553718E+05    3.03100435E+01    3.09957015E-03    6.79659635E-01
  21    1.00000668E-02    9.85199353E+11    5.88591969E+05    3.73546146E+01    3.10037304E-03    6.48366646E-01
  22    1.05000668E-02    9.83699045E+11    6.49503680E+05    4.55516975E+01    3.10121577E-03    6.19720160E-01
  23    1.10000668E-02    9.82128863E+11    7.13261779E+05    5.50176214E+01    3.10209837E-03    5.93396226E-01
  24    1.15000668E-02    9.80489270E+11    7.79838005E+05    6.58735696E+01    3.10302085E-03    5.69121419E-01
  25    1.20000668E-02    9.78780750E+11    8.49202933E+05    7.82454455E+01    3.10398324E-03    5.46663418E-01
  26    1.25000668E-02    9.77003803E+11    9.21325992E+05    9.22637340E+01    3.10498556E-03    5.25823609E-01
  27    1.30000668E-02    9.75158949E+11    9.96175487E+05    1.08063358E+02    3.10602785E-03    5.06431214E-01
  28    1.35000668E-02    9.73246727E+11    1.07371863E+06    1.25783531E+02    3.10711012E-03    4.88338608E-01
  29    1.40000668E-02    9.71267694E+11    1.15392154E+06    1.45567605E+02    3.10823240E-03    4.71417535E-01
  30    1.45000668E-02    9.69222423E+11    1.23674930E+06    1.67562911E+02    3.10939473E-03    4.55556050E-01
  31    1.50000668E-02    9.67111507E+11    1.32216598E+06    1.91920605E+02    3.11059713E-03    4.40656013E-01
  32    1.55000668E-02    9.64935554E+11    1.41013461E+06    2.18795499E+02    3.11183964E-03    4.26631031E-01
  33    1.60000668E-02    9.62695189E+11    1.50061727E+06    2.48345896E+02    3.11312229E-03    4.13404762E-01
  34    1.65000668E-02    9.60391054E+11    1.59357510E+06    2.80733420E+02    3.11444511E-03    4.00909493E-01
  35    1.70000668E-02    9.58023805E+11    1.68896831E+06    3.16122841E+02    3.11580813E-03    3.89084961E-01
