 GLOBAL PARAMETERS
 
 m [kg]                                          :    6.70038113E+08
 R [km]                                          :    9.99500031E-01
 Mean Density [g/cm^3]                           :    1.60199981E-04
 C/mR^2 (Total Moment of Inertia Respect to z)   :    6.99788752E-03
 C20                                             :    1.05934458E-04
 C22                                             :    3.18098858E-05
 ekf (Equivalent Fluid Love Number)              :    2.74071659E-04
 H(n)                                            :    4.00109629E-01
 
 PARAMETERS ON SURFACE
 
 a-R [km]                                        :    4.30119598E+00
 b-R [km]                                        :   -5.04358939E-01
 c-R [km]                                        :   -6.19059686E-01
 
 f1=(a-c)/a                                      :    9.28228222E-01
 f2=(b-c)/b                                      :    2.31652646E-01
 f3=(a-b)/a                                      :    6.96575577E-01
 
 EQUIVALENT HOMOGENEOUS SOLUTIONS
 
 f_Jeans                                         :    1.74096179E+00
 f_MacLaurin                                     :    5.78972934E-01
 f_Roche                                         :    2.31993473E+00
 
===================================================================================================================================================
 
   i    R(i)              rho(i)            mlay(i)           Clay(i)           H(i)              kl(i)          
   1    3.14070342E-08    1.00000000E+12    1.29768532E-10    5.12015828E-26    3.57071366E-07    3.34336639E-03
   2    5.00031407E-04    9.99809916E+11    5.23597904E+02    5.23829603E-05    3.27565319E-04    3.06747995E+00
   3    1.00003141E-03    9.99240011E+11    3.66270171E+03    1.62268318E-03    3.27620192E-04    2.97042602E+00
   4    1.50003141E-03    9.98291179E+11    9.93186925E+03    1.10336186E-02    3.27690473E-04    2.66056789E+00
   5    2.00003141E-03    9.96964909E+11    1.93150440E+04    4.07847472E-02    3.27781233E-04    2.33461566E+00
   6    2.50003141E-03    9.95263275E+11    3.17891204E+04    1.09527797E-01    3.27893116E-04    2.05533087E+00
   7    3.00003141E-03    9.93188935E+11    4.73240364E+04    2.41954846E-01    3.28026288E-04    1.82562938E+00
   8    3.50003141E-03    9.90745118E+11    6.58828930E+04    4.68652557E-01    3.28180816E-04    1.63704536E+00
   9    4.00003141E-03    9.87935616E+11    8.74220997E+04    8.25923530E-01    3.28356738E-04    1.48079148E+00
  10    4.50003141E-03    9.84764769E+11    1.11891545E+05    1.35557610E+00    3.28554083E-04    1.34976566E+00
  11    5.00003141E-03    9.81237452E+11    1.39234791E+05    2.10468413E+00    3.28772881E-04    1.23855702E+00
  12    5.50003141E-03    9.77359061E+11    1.69389292E+05    3.12531842E+00    3.29013158E-04    1.14309174E+00
  13    6.00003141E-03    9.73135492E+11    2.02286632E+05    4.47425190E+00    3.29274944E-04    1.06029013E+00
  14    6.50003141E-03    9.68573125E+11    2.37852786E+05    6.21264038E+00    3.29558270E-04    9.87800752E-01
  15    7.00003141E-03    9.63678804E+11    2.76008397E+05    8.40568137E+00    3.29863168E-04    9.23806677E-01
  16    7.50003141E-03    9.58459811E+11    3.16669073E+05    1.11222532E+01    3.30189675E-04    8.66886652E-01
  17    8.00003141E-03    9.52923850E+11    3.59745693E+05    1.44345370E+01    3.30537826E-04    8.15915593E-01
  18    8.50003141E-03    9.47079020E+11    4.05144736E+05    1.84176237E+01    3.30907663E-04    7.69992767E-01
  19    9.00003141E-03    9.40933787E+11    4.52768614E+05    2.31491098E+01    3.31299227E-04    7.28389428E-01
  20    9.50003141E-03    9.34496967E+11    5.02516019E+05    2.87086829E+01    3.31712562E-04    6.90510194E-01
  21    1.00000314E-02    9.27777693E+11    5.54282274E+05    3.51777008E+01    3.32147716E-04    6.55864231E-01
  22    1.05000314E-02    9.20785389E+11    6.07959696E+05    4.26387670E+01    3.32604738E-04    6.24043504E-01
  23    1.10000314E-02    9.13529748E+11    6.63437956E+05    5.11753045E+01    3.33083679E-04    5.94706177E-01
  24    1.15000314E-02    9.06020699E+11    7.20604451E+05    6.08711303E+01    3.33584594E-04    5.67563821E-01
  25    1.20000314E-02    8.98268385E+11    7.79344665E+05    7.18100344E+01    3.34107538E-04    5.42371450E-01
  26    1.25000314E-02    8.90283130E+11    8.39542538E+05    8.40753644E+01    3.34652570E-04    5.18919690E-01
  27    1.30000314E-02    8.82075416E+11    9.01080827E+05    9.77496187E+01    3.35219751E-04    4.97028570E-01
  28    1.35000314E-02    8.73655853E+11    9.63841468E+05    1.12914050E+02    3.35809145E-04    4.76542562E-01
  29    1.40000314E-02    8.65035156E+11    1.02770592E+06    1.29648283E+02    3.36420817E-04    4.57326582E-01
  30    1.45000314E-02    8.56224113E+11    1.09255553E+06    1.48029944E+02    3.37054835E-04    4.39262753E-01
  31    1.50000314E-02    8.47233565E+11    1.15827184E+06    1.68134308E+02    3.37711270E-04    4.22247751E-01
  32    1.55000314E-02    8.38074375E+11    1.22473692E+06    1.90033965E+02    3.38390193E-04    4.06190632E-01
  33    1.60000314E-02    8.28757408E+11    1.29183371E+06    2.13798504E+02    3.39091680E-04    3.91011034E-01
  34    1.65000314E-02    8.19293505E+11    1.35944628E+06    2.39494222E+02    3.39815809E-04    3.76637675E-01
  35    1.70000314E-02    8.09693458E+11    1.42746017E+06    2.67183842E+02    3.40562657E-04    3.63007107E-01
  36    1.75000314E-02    7.99967993E+11    1.49576258E+06    2.96926273E+02    3.41332308E-04    3.50062663E-01
  37    1.80000314E-02    7.90127743E+11    1.56424274E+06    3.28776374E+02    3.42124845E-04    3.37753569E-01
  38    1.85000314E-02    7.80183232E+11    1.63279205E+06    3.62784757E+02    3.42940354E-04    3.26034193E-01
  39    1.90000314E-02    7.70144854E+11    1.70130438E+06    3.98997601E+02    3.43778923E-04    3.14863401E-01
  40    1.95000314E-02    7.60022852E+11    1.76967624E+06    4.37456503E+02    3.44640643E-04    3.04204013E-01
  41    2.00000314E-02    7.49827308E+11    1.83780698E+06    4.78198343E+02    3.45525607E-04    2.94022329E-01
  42    2.05000314E-02    7.39568121E+11    1.90559900E+06    5.21255180E+02    3.46433909E-04    2.84287728E-01
  43    2.10000314E-02    7.29254994E+11    1.97295787E+06    5.66654165E+02    3.47365647E-04    2.74972314E-01
  44    2.15000314E-02    7.18897422E+11    2.03979247E+06    6.14417488E+02    3.48320920E-04    2.66050612E-01
  45    2.20000314E-02    7.08504676E+11    2.10601515E+06    6.64562333E+02    3.49299830E-04    2.57499307E-01
  46    2.25000314E-02    6.98085794E+11    2.17154184E+06    7.17100872E+02    3.50302479E-04    2.49297012E-01
  47    2.30000314E-02    6.87649573E+11    2.23629209E+06    7.72040268E+02    3.51328974E-04    2.41424063E-01
  48    2.35000314E-02    6.77204555E+11    2.30018922E+06    8.29382703E+02    3.52379422E-04    2.33862349E-01
  49    2.40000314E-02    6.66759021E+11    2.36316032E+06    8.89125425E+02    3.53453933E-04    2.26595147E-01
  50    2.45000314E-02    6.56320987E+11    2.42513632E+06    9.51260817E+02    3.54552619E-04    2.19606994E-01
  51    2.50000314E-02    6.45898195E+11    2.48605205E+06    1.01577648E+03    3.55675594E-04    2.12883557E-01
  52    2.55000314E-02    6.35498106E+11    2.54584621E+06    1.08265532E+03    3.56822974E-04    2.06411534E-01
  53    2.60000314E-02    6.25127904E+11    2.60446140E+06    1.15187570E+03    3.57994877E-04    2.00178550E-01
  54    2.65000314E-02    6.14794483E+11    2.66184410E+06    1.22341153E+03    3.59191422E-04    1.94173079E-01
  55    2.70000314E-02    6.04504455E+11    2.71794467E+06    1.29723241E+03    3.60412732E-04    1.88384363E-01
  56    2.75000314E-02    5.94264141E+11    2.77271730E+06    1.37330383E+03    3.61658932E-04    1.82802347E-01
  57    2.80000314E-02    5.84079574E+11    2.82611997E+06    1.45158728E+03    3.62930146E-04    1.77417619E-01
  58    2.85000314E-02    5.73956502E+11    2.87811442E+06    1.53204045E+03    3.64226502E-04    1.72221353E-01
  59    2.90000314E-02    5.63900383E+11    2.92866604E+06    1.61461741E+03    3.65548132E-04    1.67205264E-01
  60    2.95000314E-02    5.53916393E+11    2.97774384E+06    1.69926880E+03    3.66895166E-04    1.62361559E-01
  61    3.00000314E-02    5.44009427E+11    3.02532038E+06    1.78594203E+03    3.68267737E-04    1.57682903E-01
  62    3.05000314E-02    5.34184099E+11    3.07137165E+06    1.87458143E+03    3.69665983E-04    1.53162379E-01
  63    3.10000314E-02    5.24444750E+11    3.11587701E+06    1.96512854E+03    3.71090039E-04    1.48793458E-01
  64    3.15000314E-02    5.14795450E+11    3.15881906E+06    2.05752223E+03    3.72540046E-04    1.44569968E-01
  65    3.20000314E-02    5.05240004E+11    3.20018358E+06    2.15169897E+03    3.74016145E-04    1.40486071E-01
  66    3.25000314E-02    4.95781956E+11    3.23995940E+06    2.24759297E+03    3.75518478E-04    1.36536233E-01
  67    3.30000314E-02    4.86424594E+11    3.27813829E+06    2.34513645E+03    3.77047190E-04    1.32715209E-01
  68    3.35000314E-02    4.77170960E+11    3.31471488E+06    2.44425981E+03    3.78602428E-04    1.29018017E-01
  69    3.40000314E-02    4.68023851E+11    3.34968648E+06    2.54489185E+03    3.80184341E-04    1.25439924E-01
  70    3.45000314E-02    4.58985828E+11    3.38305303E+06    2.64695995E+03    3.81793078E-04    1.21976429E-01
  71    3.50000314E-02    4.50059223E+11    3.41481696E+06    2.75039027E+03    3.83428791E-04    1.18623243E-01
  72    3.55000314E-02    4.41246145E+11    3.44498306E+06    2.85510795E+03    3.85091634E-04    1.15376282E-01
  73    3.60000314E-02    4.32548488E+11    3.47355837E+06    2.96103732E+03    3.86781762E-04    1.12231649E-01
  74    3.65000314E-02    4.23967938E+11    3.50055208E+06    3.06810203E+03    3.88499333E-04    1.09185627E-01
